Lesson,Front,Back,Example,Translation
e12-l2,Abschluss,graduation; school leaving,Habt ihr Abitur oder einen anderen Abschluss?,Do you have Abitur or another degree?
e12-l2,Arbeitgeber,employer (male),Der Arbeitgeber sucht neue Mitarbeiter.,The employer is looking for new employees.
e12-l2,Schreinerin,carpenter (female),Die Schreinerin hat ein neues Möbelstück gebaut.,The carpenter built a new piece of furniture.
e12-l2,Arbeitgeberin,employer (female),Die Arbeitgeberin hat das Vorstellungsgespräch geführt.,The employer conducted the job interview.
e12-l2,Erfahrung,experience,Ich habe viel Erfahrung in diesem Bereich.,I have a lot of experience in this area.
e12-l2,Vollzeit,full-time job,Ich suche eine Vollzeitstelle.,I am looking for a full-time job.
e12-l2,Vollzeitkraft,full-time employee,Wir suchen eine neue Vollzeitkraft.,We are looking for a new full-time employee.
e12-l2,Arbeitsplatz,workspace,Mein Arbeitsplatz ist sehr modern.,My workspace is very modern.
e12-l2,Abitur,"school leaving examination, high school graduation",Habt ihr Abitur oder einen anderen Abschluss?,Do you have Abitur or another degree?
e12-l3,betonen,to emphasize something; to stress something,Der Lehrer betonte die Wichtigkeit der Hausaufgaben.,The teacher emphasized the importance of homework.
e12-l3,unterbrechen,to interrupt someone,"Entschuldigung, darf ich dich kurz unterbrechen?","Excuse me, can I interrupt you briefly?"
e12-l3,Auskunft,information,Ich brauche eine Auskunft über die Zugverbindungen.," ""I need information about the train connections."""
e12-l3,bestehen,to pass something,Er hat die Sprachprüfung bestanden.,He passed the language exam.
e12-l3,verbinden lassen,to be connected (on the phone); to transfer a call,Kann ich mich bitte mit Herrn Müller verbinden lassen?,"Can I be connected to Mr. Müller, please?"
e12-l3,vorstellen,to introduce oneself,Ich möchte mich kurz vorstellen.,I would like to introduce myself briefly.
e12-l3,Stimme,voice,Deine Stimme klingt müde.,Your voice sounds tired.
e12-l3,bitten,to ask someone for something; to ask someone to do something,Ich möchte dich um einen Gefallen bitten.,I would like to ask you for a favor.
e12-l3,dringend,urgent,Das ist eine dringende Angelegenheit.,This is an urgent matter.
e12-l3,verabschieden,to say goodbye; to see someone off,Wir müssen uns leider verabschieden.,"Unfortunately, we have to say goodbye."
e12-l3,Sprachprüfung,language exam,"Papa ist eigentlich Arzt, aber er muss noch eine Sprachprüfung bestehen, damit er in Deutschland arbeiten darf.","Dad is actually a doctor, but he still has to pass a language test to be allowed to work in Germany."
e12-l3,beobachten,to observe something/someone,Die Kinder beobachten die Vögel im Garten.,The children are observing the birds in the garden.
e12-l3,Hausmeisterin,caretaker (of a home); janitor (female),Die Hausmeisterin kümmert sich um den Garten.,The caretaker takes care of the garden.
e12-l3,ausrichten,to give someone a message,Kannst du ihm bitte eine Nachricht ausrichten?,Can you please give him a message?
e12-l3,ausdrücken,to express something,"Manchmal ist es schwer, seine Gefühle auszudrücken.",Sometimes it's hard to express your feelings.
e12-l3,nennen,to name something; to call something,Wie soll ich das Kind nennen?,What should I name the child?
e12-l3,hinterlassen,to leave a message,Ich habe eine Nachricht auf seinem Anrufbeantworter hinterlassen.,I left a message on his answering machine.
e12-l3,Höflichkeit,politeness,Höflichkeit ist wichtig im Umgang mit anderen Menschen.,Politeness is important when dealing with other people.
e12-l3,Besprechung,meeting,Wir haben jeden Montag eine Besprechung.,We have a meeting every Monday.
e12-l3,Bewerbungsgespräch,job interview,Sie hat morgen ein Bewerbungsgespräch.,She has a job interview tomorrow.
e12-l3,höflich,polite,Sei bitte höflich zu den Gästen.,Please be polite to the guests.
e12-l3,persönlich,personally,Ich möchte das persönlich mit dir besprechen.,I would like to discuss that with you personally.
e12-l3,zurückrufen,to call someone back; to return a call,Ich werde dich später zurückrufen.,I will call you back later.
e12-l3,Hausmeister,"caretaker (of a home), janitor (male)",Der Hausmeister repariert das Licht im Treppenhaus.,The caretaker is repairing the light in the stairwell.
e12-l3,ablaufen,"to expire, to run out",Die Frist für die Bewerbung ist abgelaufen.," ""The deadline for the application has expired."""
e12-l3,Körpersprache,body language,Manchmal sagt die Körpersprache mehr als Worte.,Sometimes body language says more than words.
e12-l3,Fast-Food-Restaurant,fast food restaurant,"Ich habe heute keine Lust zu kochen, lass uns ins Fast-Food-Restaurant gehen.","I don't feel like cooking today, let's go to the fast food restaurant."
e12-l4,sich auf etwas vorbereiten,to prepare oneself for something,Wie kann ich mich auf ein Bewerbungsgespräch vorbereiten?,How can I prepare myself for a job interview?
e12-l4,minus,minus; loss; deficit,Das Ergebnis ist minus zehn.,The result is minus ten.
e12-l4,selbstbewusst,confident; self-confident,Du musst selbstbewusster sein.,You need to be more self-confident.
e12-l4,jedoch,though,"Ich würde gern nachmittags und abends arbeiten, jedoch nicht am Wochenende.","I would like to work in the afternoons and evenings, though not on the weekends."
e12-l4,katholisch,Catholic,Die meisten Menschen in dieser Region sind katholisch.,Most people in this region are Catholic.
e12-l4,evangelisch,Evangelical; Protestant,Viele Menschen in Deutschland sind evangelisch.,Many people in Germany are Protestant.
e12-l4,jemanden einstellen,to hire someone; to give someone a job,Warum sollte ich Sie einstellen?,Why should I hire you?
e12-l4,der Beitrag,dues; contribution,Der Beitrag für die Versicherung ist monatlich.,The contribution for the insurance is monthly.
e12-l4,das Gehalt,wage; salary,Das Gehalt wird monatlich überwiesen.,The salary is transferred monthly.
e12-l4,die Arbeitnehmerin,employee; worker (female),Die Arbeitnehmerin ist sehr fleißig.,The employee is very diligent.
e12-l4,das Nettogehalt,net income,"Das Nettogehalt ist das Geld, das man wirklich bekommt.",The net income is the money you actually receive.
e12-l4,aktuell,current/currently,Ich bin aktuell auf der Suche nach einer neuen Wohnung.,I am currently looking for a new apartment.
e12-l4,das Bruttogehalt,gross salary,Das Bruttogehalt ist höher als das Nettogehalt.,The gross salary is higher than the net salary.
e12-l4,die Steuerklasse,tax bracket; tax class,Welche Steuerklasse haben Sie?,What tax bracket do you have?
e12-l4,die Steuer,tax(es),Die Steuer muss jedes Jahr bezahlt werden.,The tax must be paid every year.
e12-l4,die Lehre,teaching; lesson; doctrine,Die Lehre des Buddhismus ist sehr interessant.,The doctrine of Buddhism is very interesting.
e12-l4,das Anschreiben,letter; cover letter,Das Anschreiben ist ein wichtiger Teil der Bewerbung.,The cover letter is an important part of the application.
e12-l4,die Pflegeversicherung,nursing care insurance,Die Pflegeversicherung ist ein wichtiger Teil der Sozialversicherung.,Nursing care insurance is an important part of social security.
e12-l4,das Zertifikat,certificate,Ich brauche ein Zertifikat für meinen Sprachkurs.,I need a certificate for my language course.
e12-l4,der Schichtdienst,shift work,Haben Sie Erfahrung im Schichtdienst?,Do you have experience in shift work?
e12-l4,die Rentenversicherung,retirement insurance,Die Rentenversicherung sichert die Rente im Alter.,Retirement insurance secures the pension in old age.
e12-l4,die Schwäche,weakness,Meine größte Schwäche ist meine Ungeduld.,My biggest weakness is my impatience.
e12-l4,der Personalchef,head of personnel,Der Personalchef entscheidet über die Einstellungen.,The head of personnel decides about the hirings.
e12-l4,die Sozialversicherung,social security; social insurance,Die Sozialversicherung ist in Deutschland obligatorisch.,Social insurance is mandatory in Germany.
e12-l4,die Versicherung,insurance,Welche Versicherungen haben Sie?,What insurances do you have?
e12-l4,der Lohn,salary; wage,Der Lohn wird am Ende des Monats bezahlt.,The wage is paid at the end of the month.
e12-l4,die Arbeitslosenversicherung,unemployment insurance,Die Arbeitslosenversicherung hilft bei Jobverlust.,Unemployment insurance helps in case of job loss.
e12-l4,das Finanzamt,tax authority,Das Finanzamt ist für die Steuern zuständig.,The tax authority is responsible for taxes.
e12-l4,der Bewerber,applicant (male),Es gab viele Bewerber für die Stelle.,There were many applicants for the position.
e12-l4,befristet,temporary; limited,Der Arbeitsvertrag ist befristet auf drei Monate.,The employment contract is limited to three months.
e12-l4,die Bewerberin,applicant (female),Die Bewerberin hat einen sehr guten Eindruck gemacht.,The applicant made a very good impression.
e12-l4,die Kosten,costs,Die Kosten für die Reparatur sind sehr hoch.,The costs for the repair are very high.
e12-l4,die Kirche,church,Die Kirche ist ein schönes altes Gebäude.,The church is a beautiful old building.
e12-l4,die Steuernummer,tax identification number,Man braucht eine Steuernummer für die Steuererklärung.,You need a tax identification number for the tax declaration.
e12-l4,die Stärke,strength,Was sind Ihre Stärken?,What are your strengths?
e12-l4,der Arbeitnehmer,employee; worker (male),Der Arbeitnehmer hat viele Rechte.,The employee has many rights.
e13-l1,statt|finden,to take place; occur,Das Konzert findet am Samstag statt.,The concert will take place on Saturday.
e13-l1,kurzfristig,short-term,Wir haben eine kurzfristige Lösung gebraucht.,We needed a short-term solution.
e13-l1,die Einwohnerin,resident; inhabitant (female),Die Einwohnerin arbeitet im Café.,The resident (female) works in the cafe.
e13-l1,das Gedicht,poem,Er schreibt ein Gedicht über die Natur.,He is writing a poem about nature.
e13-l1,unbedingt,absolute/absolutely,Ich möchte unbedingt ein Eis.,I absolutely want an ice cream.
e13-l1,der Schauspieler,actor (male),Der Schauspieler spielt in einem Theaterstück.,The actor is performing in a play.
e13-l1,das Festival,music festival,Ich möchte nächsten Sommer unbedingt auf ein Open-Air-Festival gehen.,I really want to go to an open-air festival next summer.
e13-l1,das Stück,piece; part; item (here: play),Das Stück ist sehr interessant.,The play is very interesting.
e13-l1,die Bühne,stage,Die Band spielt auf der Bühne.,The band is playing on the stage.
e13-l1,die Schauspielerin,actor (female); actress,Die Schauspielerin hat einen Preis gewonnen.,The actress has won an award.
e13-l1,die Kunst,art,Sie studiert Kunst an der Universität.,She studies art at the university.
e13-l1,der Sänger,singer (male),Der Sänger ist krank.,The singer is sick.
e13-l1,die Band,band; music group,Die Band hat abgesagt.,The band has canceled.
e13-l1,das Programm,program,Jetzt haben wir kein Programm?,Now we don't have a program?
e13-l1,die Kultur,culture,Das Thema der Lektion ist Kultur.,The theme of the lesson is culture.
e13-l1,die Malerei,painting,Die Malerei dieses Künstlers ist sehr beeindruckend.,The painting of this artist is very impressive.
e13-l1,schlammig,muddy; slimy,Der Weg zum Festival ist sehr schlammig.,The way to the festival is very muddy.
e13-l1,der Wohnwagen,mobile home; RV,Wir schlafen im Wohnwagen auf dem Campingplatz.,We sleep in the mobile home at the campsite.
e13-l1,die Messe,trade fair,Wir gehen nächste Woche auf die Messe.,We are going to the trade fair next week.
e13-l1,der Ersatz,replacement,So kurzfristig finden wir keinen Ersatz.,We can’t find a replacement on such short notice.
e13-l1,die Veranstaltung,event,Die Veranstaltung beginnt um 20 Uhr.,The event starts at 8 PM.
e13-l1,der Einwohner,resident; inhabitant (male),Berlin hat viele Einwohner.,Berlin has many residents.
e13-l1,der Eintritt,entrance; admission,Der Eintritt zum Konzert ist teuer.,The admission to the concert is expensive.
e13-l1,der Fan,fan,Ich bin ein großer Fan dieser Band.,I am a big fan of this band.
e13-l1,die Sängerin,singer (female),Die Sängerin hat eine tolle Stimme.,The singer has a great voice.
e13-l1,das Zelt,tent,Wir haben unser Zelt auf dem Festival aufgebaut.,We set up our tent at the festival.
e13-l1,live,live,Die Band spielt live im Konzert.,The band is playing live in the concert.
e13-l2,malen,to paint something,Der Künstler malt ein wunderschönes Bild.,The artist paints a beautiful picture.
e13-l2,Stadtführer,city guide,Das steht in keinem Stadtführer.,That’s not in any city guide.
e13-l2,shoppen,shopping,Ich gehe am Wochenende shoppen.,I go shopping on the weekend.
e13-l2,teilnehmen,to take part in something,Wir nehmen an einem Deutschkurs teil.,We are taking part in a German course.
e13-l2,Szene,scene,Die Szene im Film war sehr emotional.,The scene in the film was very emotional.
e13-l2,Schloss,castle,Sie sollten auf jeden Fall das Stadtschloss besuchen.,You should definitely visit the city castle.
e13-l2,bauen,to build something; to construct something,Sie wollen ein Haus bauen.,They want to build a house.
e13-l2,Geheimtipp,secret tip,Die Gemälde aus dem Mittelalter im Stadtmuseum – die sind auch ein echter Geheimtipp.,The paintings from the Middle Ages in the city museum – those are also a real secret tip.
e13-l2,prima,great; fantastic,Das Essen war prima!,The food was great!
e13-l2,Kritiker,critic; reviewer (male),Ein Kritiker schreibt in der Zeitung: „Goethes Faust begeisterte die Theaterbesucher gleich am ersten Abend.”,"A critic writes in the newspaper: ""Goethe's Faust thrilled the theatergoers on the very first night."""
e13-l2,Tageskarte,daily ticket,Ich brauche eine Tageskarte für den Bus.,I need a day ticket for the bus.
e13-l2,spielen,to play something,Der Schauspieler spielt in dem Theaterstück.,The actor is performing in the play.
e13-l2,begeistern,to inspire someone; to enthuse someone,Goethes Faust begeisterte die Theaterbesucher gleich am ersten Abend.,Goethe's Faust thrilled the theatergoers on the very first night.
e13-l2,Gemälde,painting,Das Gemälde hängt im Museum.,The painting is hanging in the museum.
e13-l2,Führung,guided tour,Wir haben an einer Führung durch das Schloss teilgenommen.,We took part in a guided tour of the castle.
